3,Abenberg,V,de
5,Abensberg,V,de
9,Augustusburg,V,de
11,Adelsheim,V,de
15,Adenau,V,de
17,Eibelstadt,V,de
21,Bergneustadt,V,de
23,Bergheim,C,de
27,Bersenbr?ck,V,de
30,Berlin,C,de
34,Bernau bei Berlin,V,de
36,Welzheim,V,de
39,Wemding,V,de
43,Weener,V,de
47,Wehr,V,de
51,Werdau,V,de
53,Garding,V,de
55,Dransfeld,V,de
57,Drebkau,V,de
60,Dresden,C,de
63,Drensteinfurt,V,de
67,Drolshagen,V,de
69,D?ren,C,de
72,D?sseldorf,C,de
76,Kandel,V,de
79,Kandern,V,de
81,Kappeln,V,de
83,Karben,V,de
85,Karlsruhe,C,de
87,Karlstadt,V,de
89,Kaarst,V,de
91,Kassel,C,de
94,M?nster,C,de
97,M?nchen,C,de
99,M?nchenbernsdorf,V,de
102,M?nzenberg,V,de
105,Premnitz,V,de
109,Rockenhausen,V,de
112,Saarlouis,V,de
115,Sandersdorf-Brehna,V,de
119,Sankt Augustin,C,de
122,Vienna,C,de
124,Styria,C,de
127,Upper Austria,C,de
131,Salzburg,C,de
133,Tyrol,C,de
135,Carinthia,V,de
137,Carinthia,V,de
139,Upper Austria,V,de
143,Lower Austria,V,de
147,Vorarlberg,V,de
150,Lower Austria,V,de
154,Upper Austria,V,de
156,Vorarlberg,V,de
159,Vorarlberg,V,de
162,Upper Austria,V,de
165,Lower Austria,V,de
167,Lower Austria,V,de
170,Carinthia,V,de
172,Styria,V,de
175,Lower Austria,V,de
178,Moscow,C,ru
180,Saint Petersburg,C,ru
182,Novosibirsk,C,ru
185,Yekaterinburg,C,ru
188,Kazan,C,ru
192,Nizhny Novgorod,C,ru
196,Chelyabinsk,C,ru
198,Samara,C,ru
201,Omsk,C,ru
204,Rostov-on-Don,C,ru
206,Ufa,C,ru
209,Krasnoyarsk,C,ru
212,Azov,C,ru
216,Kuznetsk,C,ru
219,Ust-Ilimsk,C,ru
223,Novouralsk,C,ru
226,Klin,C,ru
228,Vidnoye,C,ru
231,Murino,C,ru
235,Yalta,C,ru
237,Ozyorsk,C,ru
240,Kropotkin,C,ru
243,Bor,C,ru
245,Vsevolozhsk,C,ru
249,Gelendzhik,C,ru
253,Melbourne,C,en
256,Sydney,C,en
259,Brisbane,C,en
263,Perth,C,en
265,Adelaide,C,en
269,Gold Coast�Tweed Heads,C,en
272,Newcastle�Maitland,C,en
276,Canberra�Queanbeyan,C,en
279,Sunshine Coast,C,en
281,Central Coast,C,en
283,Wollongong,C,en
285,Geelong,C,en
287,Hobart,C,en
289,Townsville,C,en
292,Cairns,C,en
295,Toowoomba,C,en
297,Darwin,C,en
299,Ballarat,C,en
301,Bendigo,C,en
304,Albury�Wodonga,V,en
307,Launceston,V,en
309,Mackay,V,en
312,Rockhampton,V,en
315,Melton,V,en
318,Bunbury,V,en
321,Coffs Harbour,V,en
325,Bundaberg,V,en
328,Wagga Wagga,V,en
330,Hervey Bay,V,en
333,Rome,C,it
335,Milan,C,it
337,Naples,C,it
341,Turin,C,it
343,Palermo,C,it
346,Genoa,C,it
350,Bologna,C,it
353,Florence,C,it
355,Bari,C,it
358,Catania,C,it
362,Pesaro,V,it
